doc_id,neutral_file,original_name,original_path,label
kb_0001,kb_0001.txt,doc1_1.txt,data/raw_docs/doc1_1.txt,attack
kb_0002,kb_0002.txt,doc1_2.txt,data/raw_docs/doc1_2.txt,attack
kb_0003,kb_0003.txt,doc1_3.txt,data/raw_docs/doc1_3.txt,attack
kb_0004,kb_0004.txt,doc1_4.txt,data/raw_docs/doc1_4.txt,attack
kb_0005,kb_0005.txt,doc1_5.txt,data/raw_docs/doc1_5.txt,attack
kb_0006,kb_0006.txt,doc22_1.txt,data/raw_docs/doc22_1.txt,attack
kb_0007,kb_0007.txt,doc22_2.txt,data/raw_docs/doc22_2.txt,attack
kb_0008,kb_0008.txt,doc22_3.txt,data/raw_docs/doc22_3.txt,attack
kb_0009,kb_0009.txt,doc22_4.txt,data/raw_docs/doc22_4.txt,attack
kb_0010,kb_0010.txt,doc22_5.txt,data/raw_docs/doc22_5.txt,attack
kb_0011,kb_0011.txt,doc33_1.txt,data/raw_docs/doc33_1.txt,attack
kb_0012,kb_0012.txt,doc33_2.txt,data/raw_docs/doc33_2.txt,attack
kb_0013,kb_0013.txt,doc33_3.txt,data/raw_docs/doc33_3.txt,attack
kb_0014,kb_0014.txt,doc33_4.txt,data/raw_docs/doc33_4.txt,attack
kb_0015,kb_0015.txt,doc33_5.txt,data/raw_docs/doc33_5.txt,attack
kb_0016,kb_0016.txt,section_1_1.txt,data/raw_docs/section_1_1.txt,normal
kb_0017,kb_0017.txt,section_1_10.txt,data/raw_docs/section_1_10.txt,normal
kb_0018,kb_0018.txt,section_1_10_1.txt,data/raw_docs/section_1_10_1.txt,normal
kb_0019,kb_0019.txt,section_1_11.txt,data/raw_docs/section_1_11.txt,normal
kb_0020,kb_0020.txt,section_1_2.txt,data/raw_docs/section_1_2.txt,normal
kb_0021,kb_0021.txt,section_1_2_1.txt,data/raw_docs/section_1_2_1.txt,normal
kb_0022,kb_0022.txt,section_1_3.txt,data/raw_docs/section_1_3.txt,normal
kb_0023,kb_0023.txt,section_1_3_1.txt,data/raw_docs/section_1_3_1.txt,normal
kb_0024,kb_0024.txt,section_1_4.txt,data/raw_docs/section_1_4.txt,normal
kb_0025,kb_0025.txt,section_1_4_1.txt,data/raw_docs/section_1_4_1.txt,normal
kb_0026,kb_0026.txt,section_1_5.txt,data/raw_docs/section_1_5.txt,normal
kb_0027,kb_0027.txt,section_1_5_1.txt,data/raw_docs/section_1_5_1.txt,normal
kb_0028,kb_0028.txt,section_1_6.txt,data/raw_docs/section_1_6.txt,normal
kb_0029,kb_0029.txt,section_1_6_1.txt,data/raw_docs/section_1_6_1.txt,normal
kb_0030,kb_0030.txt,section_1_7.txt,data/raw_docs/section_1_7.txt,normal
kb_0031,kb_0031.txt,section_1_7_1.txt,data/raw_docs/section_1_7_1.txt,normal
kb_0032,kb_0032.txt,section_1_8.txt,data/raw_docs/section_1_8.txt,normal
kb_0033,kb_0033.txt,section_1_8_1.txt,data/raw_docs/section_1_8_1.txt,normal
kb_0034,kb_0034.txt,section_1_8_2.txt,data/raw_docs/section_1_8_2.txt,normal
kb_0035,kb_0035.txt,section_1_9.txt,data/raw_docs/section_1_9.txt,normal
kb_0036,kb_0036.txt,section_1_9_1.txt,data/raw_docs/section_1_9_1.txt,normal
kb_0037,kb_0037.txt,section_2_1.txt,data/raw_docs/section_2_1.txt,normal
kb_0038,kb_0038.txt,section_2_1_1.txt,data/raw_docs/section_2_1_1.txt,normal
kb_0039,kb_0039.txt,section_2_2.txt,data/raw_docs/section_2_2.txt,normal
kb_0040,kb_0040.txt,section_2_2_1.txt,data/raw_docs/section_2_2_1.txt,normal
kb_0041,kb_0041.txt,section_2_2_2.txt,data/raw_docs/section_2_2_2.txt,normal
kb_0042,kb_0042.txt,section_2_2_3.txt,data/raw_docs/section_2_2_3.txt,normal
kb_0043,kb_0043.txt,section_2_3_1.txt,data/raw_docs/section_2_3_1.txt,normal
kb_0044,kb_0044.txt,section_2_3_1_1.txt,data/raw_docs/section_2_3_1_1.txt,normal
kb_0045,kb_0045.txt,section_2_3_1_2.txt,data/raw_docs/section_2_3_1_2.txt,normal
kb_0046,kb_0046.txt,section_2_3_2.txt,data/raw_docs/section_2_3_2.txt,normal
kb_0047,kb_0047.txt,section_2_3_2_1.txt,data/raw_docs/section_2_3_2_1.txt,normal
kb_0048,kb_0048.txt,section_2_3_3.txt,data/raw_docs/section_2_3_3.txt,normal
kb_0049,kb_0049.txt,section_2_3_3_1.txt,data/raw_docs/section_2_3_3_1.txt,normal
kb_0050,kb_0050.txt,section_2_3_3_2.txt,data/raw_docs/section_2_3_3_2.txt,normal
kb_0051,kb_0051.txt,section_2_3_3_3.txt,data/raw_docs/section_2_3_3_3.txt,normal
kb_0052,kb_0052.txt,section_2_3_4.txt,data/raw_docs/section_2_3_4.txt,normal
kb_0053,kb_0053.txt,section_2_3_4_1.txt,data/raw_docs/section_2_3_4_1.txt,normal
kb_0054,kb_0054.txt,section_2_4.txt,data/raw_docs/section_2_4.txt,normal
kb_0055,kb_0055.txt,section_2_4_1.txt,data/raw_docs/section_2_4_1.txt,normal
kb_0056,kb_0056.txt,section_2_5.txt,data/raw_docs/section_2_5.txt,normal
